
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,Eth-Trunk127               ,trunk,1,1 1000-1015 1030-1032 1500-1538 ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/1       ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/2       ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/3       ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/4       ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/5       ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/6       ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/7       ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/8       ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/9       ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/10      ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/11      ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/12      ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/13      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/14      ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/15      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/16      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/17      ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/18      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/19      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/20      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/21      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/22      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/23      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/24      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/25      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/26      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/27      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/28      ,hybrid,1,1000-1015 1031-1032 1500-1538,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/29      ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/30      ,desirable,1,1-4094,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/31      ,hybrid,1543,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/32      ,hybrid,1543,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/33      ,hybrid,1030,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/34      ,hybrid,1030,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/35      ,hybrid,1030,-                               ,
SY-1#ZYL-2F-01#01-9U-WX-ACC-S5731,10.61.244.16,GigabitEthernet0/0/36      ,hybrid,1030,-                               ,
