弱电间,列1,序列号,列2,列3,列4,列5,列6,过线柜弱电间侧,列7,列8,过线柜机房侧,列9,列10,机房机柜侧,列11,列12,列13,列14,列15
B1,B-4#,102376880710,内网POE交换机,12U,XG0/0/3,41U,2口,内网2柜-正,40U,26口,内网2柜-正,12U,44口,B12,背-38U,44口,无线汇聚7706-1,15-24U,XGE5/0/18
B1,B-4#,102376880710,内网POE交换机,12U,XG0/0/4,41U,14口,内网2柜-正,40U,38口,内网2柜-正,10U,44口,B12,背-36U,44口,无线汇聚7706-2,3-12U,XGE5/0/18
1F,9#,102376880727,内网POE交换机,6U,XG0/0/3,41U,2口,内网2柜-正,20U,2口,内网3柜-正,10U,43口,B12,背-34U,43口,无线汇聚7706-1,15-24U,XGE5/0/0
1F,9#,102376880727,内网POE交换机,6U,XG0/0/4,41U,14口,内网2柜-正,20U,14口,内网3柜-正,6U,43口,B12,背-32U,43口,无线汇聚7706-2,3-12U,XGE5/0/0
1F,12#,102376880851,内网POE交换机,11U,XG0/0/3,41U,2口,内网2柜-正,18U,26口,内网2柜-正,12U,34口,B12,背-38U,34口,无线汇聚7706-1,15-24U,XGE5/0/1
1F,12#,102376880851,内网POE交换机,11U,XG0/0/4,41U,14口,内网2柜-正,18U,38口,内网2柜-正,10U,34口,B12,背-36U,34口,无线汇聚7706-2,3-12U,XGE5/0/1
1F,12#,102377155611,内网POE交换机,17U,XG0/0/3,41U,3口,内网2柜-正,18U,27口,内网2柜-正,12U,43口,B12,背-38U,43口,无线汇聚7706-1,15-24U,XGE5/0/2
1F,12#,102377155611,内网POE交换机,17U,XG0/0/4,41U,15口,内网2柜-正,18U,39口,内网2柜-正,10U,43口,B12,背-36U,43口,无线汇聚7706-2,3-12U,XGE5/0/2
2F,2#,102377155414,内网POE交换机,12U,XG0/0/3,41U,2口,内网2柜-背,42U,26口,内网2柜-正,8U,41口,B13,背-38U,41口,无线汇聚7706-3,15-24U,XGE5/0/0
2F,2#,102377155414,内网POE交换机,12U,XG0/0/4,41U,14口,内网2柜-背,42U,38口,内网2柜-正,6U,41口,B13,背-36U,41口,无线汇聚7706-4,3-12U,XGE5/0/0
3F,1#,102377155579,POE交换机,2柜-18U,XG0/0/3,41U,6口,内网2柜-背,26U,6口,内网2柜-正,4U,33口,B13,背-30U,33口,无线汇聚7706-3,15-24U,XGE5/0/14
3F,1#,102377155579,POE交换机,2柜-18U,XG0/0/4,41U,18口,内网2柜-背,26U,18口,内网2柜-正,4U,45口,B13,背-30U,45口,无线汇聚7706-4,3-12U,XGE5/0/14
3F,1#,102376880784,无线POE交换机,2柜-24U,XG0/0/3,41U,3口,无线2柜-背,26U,3口,无线3柜-正,8U,32口,B25,背-36U,32口,无线汇聚7706-3,15-24U,XGE4/0/35
3F,1#,102376880784,无线POE交换机,2柜-24U,XG0/0/4,41U,15口,无线2柜-背,26U,15口,无线3柜-正,8U,44口,B25,背-36U,44口,无线汇聚7706-4,3-12U,XGE4/0/35
3F,1#,102377155432,POE交换机,1柜-12U,XG0/0/3,1柜-40U,3口,无线2柜-背,26U,3口,内网2柜-正,8U,48口,B13,背-38U,42口,无线汇聚7706-3,15-24U,XGE5/0/1
3F,1#,102377155432,POE交换机,1柜-12U,XG0/0/4,1柜-40U,15口,无线2柜-背,26U,15口,内网2柜-正,6U,48口,B13,背-36U,42口,无线汇聚7706-4,3-12U,XGE5/0/1
3F,3#,102376880805,无线POE交换机,33U,XG0/0/3,41U,1口,无线2柜-背,24U,1口,无线1柜-正,8U,5口,B24,背-36U,5口,无线汇聚7706-1,15-24U,XGE5/0/25
3F,3#,102376880805,无线POE交换机,33U,XG0/0/4,41U,13口,无线2柜-背,24U,13口,无线1柜-正,8U,6口,B24,背-36U,6口,无线汇聚7706-2,3-12U,XGE5/0/25
4F,1#,102376880721,内网POE交换机,18U,XG0/0/3,41U,1口,内网3柜-正,42U,1口,内网3柜-正,10U,1口,B12,背-34U,1口,无线汇聚7706-1,15-24U,XGE5/0/3
4F,1#,102376880721,内网POE交换机,18U,XG0/0/4,41U,13口,内网3柜-正,42U,13口,内网3柜-正,6U,1口,B12,背-32U,1口,无线汇聚7706-2,3-12U,XGE5/0/3
4F,1#,102377155419,内网POE交换机,12U,XG0/0/3,41U,2口,内网3柜-正,42U,2口,内网3柜-正,10U,31口,B12,背-34U,31口,无线汇聚7706-1,15-24U,XGE5/0/4
4F,1#,102377155419,内网POE交换机,12U,XG0/0/4,41U,14口,内网3柜-正,42U,14口,内网3柜-正,6U,31口,B12,背-32U,31口,无线汇聚7706-2,3-12U,XGE5/0/4
