设备名称,管理IP,端口,物理状态,协议状态,端口UP时间,端口DOWN时间,速率,双工,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/1,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/2,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/3,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/4,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/5,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/6,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/7,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/8,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/9,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/10,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/11,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/12,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/13,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/14,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/15,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/16,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/17,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/18,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/19,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/20,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/21,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/22,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/23,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/24,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/25,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/26,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/27,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/28,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/29,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/30,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/31,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/32,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/33,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/34,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/35,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/36,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/37,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/38,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/39,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/40,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/41,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/42,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/43,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/44,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/45,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
SY-1#ZYL-1F-01#01-30U-NW-ACC-S5731,10.61.240.17,GigabitEthernet0/0/46,DOWN,DOWN,-,2024/1/4 8:37,1000,FULL,,,,
